,dp_id,MJD
449,ADP.2016-10-08T01:06:27.985,57668.25639351
450,ADP.2017-01-16T01:15:41.399,57768.10900932
451,ADP.2017-01-16T01:15:41.423,57768.0593266
452,ADP.2017-01-16T01:15:41.431,57768.03117748
453,ADP.2017-01-16T01:15:41.571,57768.12309483
454,ADP.2017-01-16T01:15:41.607,57768.08929666
455,ADP.2017-01-16T01:15:41.653,57768.09352143
456,ADP.2017-01-16T01:15:41.231,57768.21671761
457,ADP.2017-01-16T01:15:41.301,57768.04617357
458,ADP.2017-01-16T01:15:41.303,57768.1012604
459,ADP.2017-01-16T01:15:41.329,57768.17376974
460,ADP.2017-01-16T01:15:41.341,57768.10407873
461,ADP.2017-01-16T01:15:41.359,57768.10548344
462,ADP.2014-10-07T08:34:34.477,56772.96884356
463,ADP.2014-10-07T08:34:43.790,56707.10029571
464,ADP.2014-10-07T08:35:23.157,56694.06535142
465,ADP.2014-10-07T08:35:29.357,56706.07855278
466,ADP.2014-10-07T08:35:34.330,56694.05971322
467,ADP.2014-10-07T08:35:44.753,56706.08279934
468,ADP.2016-11-22T01:06:21.165,57713.34305016
469,ADP.2016-11-22T01:06:21.255,57713.35207358
470,ADP.2016-11-22T01:06:21.271,57713.3537114
471,ADP.2017-01-16T01:15:41.045,57768.2244178
472,ADP.2017-01-16T01:15:41.161,57768.0780237
473,ADP.2017-01-16T01:15:41.163,57768.20968215
474,ADP.2017-01-16T01:15:41.317,57768.17236399
475,ADP.2017-01-16T01:15:41.381,57768.05441731
476,ADP.2017-01-16T01:15:41.405,57768.24654149
477,ADP.2017-01-16T01:15:41.483,57768.11605092
478,ADP.2017-01-16T01:15:41.525,57768.04282315
479,ADP.2017-01-16T01:15:41.615,57768.12732203
480,ADP.2017-01-16T01:15:41.411,57768.10971295
481,ADP.2017-01-16T01:15:41.425,57768.18292464
482,ADP.2017-01-16T01:15:41.445,57768.11252792
483,ADP.2017-01-16T01:15:41.447,57768.03405623
484,ADP.2017-01-16T01:15:41.453,57768.11323166
485,ADP.2017-01-16T01:15:41.489,57768.11675709
486,ADP.2017-01-16T01:15:41.661,57768.13154529
487,ADP.2017-01-16T01:15:41.687,57768.21812278
488,ADP.2017-01-16T01:15:41.705,57768.21953084
489,ADP.2017-01-16T01:15:41.707,57768.13576219
490,ADP.2017-01-16T01:15:41.745,57768.13929214
491,ADP.2017-01-16T01:15:41.759,57768.14069638
492,ADP.2014-11-21T19:00:52.393,56982.34832525
493,ADP.2015-01-19T22:55:31.860,57041.18154466
494,ADP.2015-01-21T22:55:25.000,57043.10220332
495,ADP.2016-10-08T01:06:28.137,57668.25004118
496,ADP.2016-11-22T01:06:21.311,57713.35862973
497,ADP.2017-01-16T01:15:41.055,57768.14703469
