Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-10-16;11.81;14.15;16.74;100.00;0.00;1.89;7.00;100.00;0.00;2.13;8.09;100.00;-112.06;247.94;247.94;100.00;-112.14;247.86;247.86;100.00;0.00;199.27;1151.00;100.00;0.00;184.28;928.00;100.00
2016-10-17;11.85;12.78;15.07;100.00;0.00;1.60;6.72;100.00;0.00;1.82;7.19;100.00;-108.24;251.76;251.76;100.00;-108.69;251.31;251.31;100.00;0.00;68.83;913.00;100.00;0.00;63.82;482.80;100.00
2016-10-18;10.62;12.93;16.33;100.00;0.00;2.24;7.72;100.00;0.00;2.55;8.88;100.00;-118.46;241.54;241.54;100.00;-118.59;241.41;241.41;100.00;0.00;306.33;1262.00;100.00;0.00;287.89;1128.00;100.00
2016-10-19;6.82;12.64;17.55;100.00;0.00;2.42;7.74;100.00;0.00;2.78;8.45;100.00;-88.61;271.39;271.39;100.00;-88.42;271.58;271.58;100.00;0.00;338.65;1050.00;100.00;0.00;320.10;991.00;100.00
2016-10-20;6.89;14.54;21.47;100.00;0.00;1.77;8.47;100.00;0.00;2.02;9.09;100.00;-94.58;265.42;265.42;100.00;-91.78;268.22;268.22;100.00;0.00;340.76;1054.00;100.00;0.00;323.78;1004.00;100.00
2016-10-21;9.25;13.96;18.17;100.00;0.00;2.37;10.17;100.00;0.00;2.64;10.88;100.00;-50.69;309.31;309.31;100.00;-49.02;310.98;310.98;100.00;0.00;332.02;1033.00;100.00;0.00;313.18;977.00;100.00
2016-10-22;12.07;14.56;17.82;100.00;0.00;2.50;11.15;100.00;0.00;2.76;10.72;100.00;-69.82;290.18;290.18;100.00;-68.71;291.29;291.29;100.00;0.00;237.81;1576.00;100.00;0.00;221.55;1232.00;100.00
2016-10-23;9.20;14.41;18.98;100.00;0.00;2.12;8.13;100.00;0.00;2.47;9.04;100.00;-78.15;281.85;281.85;100.00;-74.95;285.05;285.05;100.00;0.00;294.55;1151.00;100.00;0.00;279.29;1049.00;100.00
2016-10-24;11.52;15.27;20.43;100.00;0.00;2.18;7.37;100.00;0.00;2.52;8.13;100.00;-81.20;278.80;278.80;100.00;-81.21;278.79;278.79;100.00;0.00;333.67;1057.00;100.00;0.00;316.08;1009.00;100.00
2016-10-25;10.58;15.07;21.79;100.00;0.00;2.13;8.33;100.00;0.00;2.44;9.35;100.00;-107.65;252.35;252.35;100.00;-112.71;247.29;247.29;100.00;0.00;343.88;1048.00;100.00;0.00;326.59;1003.00;100.00
