Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-10-13;10.20;14.94;20.82;100.00;0.00;2.05;9.19;100.00;0.00;2.38;9.37;100.00;-19.15;340.85;340.85;100.00;-8.72;351.29;351.29;100.00;0.00;310.13;1273.00;100.00
2016-10-14;9.39;13.04;20.58;100.00;0.00;2.37;12.35;100.00;0.00;3.05;12.80;100.00;45.86;45.86;45.86;100.00;51.00;51.00;51.00;100.00;0.00;97.19;538.50;100.00
2016-10-15;9.17;11.83;19.29;100.00;0.00;3.50;13.48;100.00;0.00;3.84;14.37;100.00;-41.92;318.08;318.08;100.00;-30.27;329.73;329.73;100.00;0.00;173.04;1389.00;100.00
2016-10-16;9.59;12.16;17.03;100.00;0.00;3.22;9.80;100.00;0.00;3.55;10.54;100.00;-58.24;301.76;301.76;100.00;-49.24;310.76;310.76;100.00;0.00;227.61;1363.00;100.00
2016-10-17;8.84;10.75;14.96;100.00;0.00;3.24;9.21;100.00;0.00;3.45;9.11;100.00;-31.78;328.22;328.22;100.00;-20.34;339.66;339.66;100.00;0.00;194.47;1656.00;100.00
2016-10-18;8.06;10.87;16.18;100.00;0.00;3.22;10.35;100.00;0.00;3.52;11.00;100.00;-41.17;318.83;318.83;100.00;-28.41;331.59;331.59;100.00;0.00;315.27;1149.00;100.00
2016-10-19;7.25;11.67;18.37;100.00;0.00;2.78;10.02;100.00;0.00;3.26;10.78;100.00;-86.32;273.68;273.68;100.00;-78.90;281.11;281.11;100.00;0.00;347.71;1081.00;100.00
2016-10-20;9.80;14.12;17.27;100.00;0.00;1.83;7.41;100.00;0.00;2.14;7.53;100.00;74.56;74.56;74.56;100.00;77.82;77.82;77.82;100.00;0.00;353.82;1094.00;100.00
2016-10-21;8.55;12.14;16.36;100.00;0.00;3.19;11.25;100.00;0.00;3.51;11.35;100.00;-50.68;309.32;309.32;100.00;-40.53;319.47;319.47;100.00;0.00;223.05;1494.00;100.00
2016-10-22;9.17;11.24;15.27;100.00;0.00;3.52;10.33;100.00;0.00;3.81;11.25;100.00;-52.96;307.04;307.04;100.00;-42.31;317.69;317.69;100.00;0.00;200.74;1507.00;100.00
